"ID","cooperation","experiment"
32,1,2
33,0,2
34,0,2
35,1,2
36,1,2
38,0,2
39,1,2
40,0,2
41,0,2
42,1,2
43,1,2
44,1,2
45,1,2
47,1,2
48,0,2
49,1,2
51,1,2
52,0,2
53,1,2
55,0,2
57,1,2
58,1,2
59,1,2
61,1,2
63,1,2
64,1,2
65,1,2
68,0,2
70,0,2
71,1,2
73,1,2
74,1,2
75,1,2
76,1,2
77,1,2
78,0,2
80,1,2
82,1,2
83,0,2
84,0,2
87,1,2
89,1,2
91,0,2
92,1,2
93,0,2
94,1,2
95,1,2
96,0,2
97,1,2
100,1,2
101,0,2
102,1,2
104,1,2
105,1,2
106,1,2
107,1,2
108,1,2
110,0,2
111,0,2
112,1,2
113,1,2
114,0,2
115,1,2
116,1,2
117,0,2
118,0,2
120,1,2
121,1,2
122,1,2
123,1,2
124,1,2
125,1,2
126,1,2
127,1,2
128,1,2
129,0,2
130,1,2
131,1,2
132,1,2
133,0,2
134,0,2
136,1,2
137,1,2
138,1,2
139,0,2
140,1,2
142,0,2
143,0,2
145,1,2
146,0,2
148,1,2
150,1,2
151,1,2
153,0,2
154,0,2
156,1,2
157,1,2
158,1,2
160,1,2
